,priority,rule,source,tags,time,output_fields.container.id,output_fields.container.image.repository,output_fields.evt.time,output_fields.fd.name,output_fields.proc.aname[2],output_fields.proc.aname[3],output_fields.proc.aname[4],output_fields.proc.cmdline,output_fields.proc.name,output_fields.proc.pname,output_fields.user.loginuid,output_fields.user.name,output_fields.proc.pcmdline,output_fields.evt.arg.uid,output_fields.user.uid,output_fields.container.name,output_fields.proc.tty,output_fields.container.image.tag,output_fields.container.mounts,is_run_as_root,is_bash_in_args,is_sh_in_args,is_passwd_in_open_args,is_proc_in_open_args,n_failed_syscalls
534,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:15:22.049179961Z,host,,1639422922049179961,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
535,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:15:22.055298806Z,host,,1639422922055298806,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
536,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:20:22.112566094Z,host,,1639423222112566094,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
537,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:20:22.126873436Z,host,,1639423222126873436,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
538,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:25:22.167794462Z,host,,1639423522167794462,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
539,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:25:22.195673166Z,host,,1639423522195673166,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
540,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:30:21.882981753Z,host,,1639423821882981753,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
541,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:30:21.907005828Z,host,,1639423821907005828,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
542,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:35:22.003403187Z,host,,1639424122003403187,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
543,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T19:35:22.004676893Z,host,,1639424122004676893,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
